File,Model,Verdict,Exact Duplicates,Fuzzy Duplicates,Max Pattern Sequence,Entry Count,Anchor Coverage,Summary
Claude Opus 4.5 LIST 1 (January 12, 2025).txt,Claude Opus 4.5,WARN,87,15,0,1000,60/61,"Issues: 87 exact duplicates"
Claude Opus 4.5 LIST 10 (January 19, 2026).txt,Claude Opus 4.5,PASS,11,4,0,1000,60/61,"List passes all quality checks"
Claude Opus 4.5 LIST 2 (January 12, 2025).txt,Claude Opus 4.5,PASS,5,31,10,1000,57/61,"List passes all quality checks"
Claude Opus 4.5 LIST 3 (January 12, 2025).txt,Claude Opus 4.5,WARN,2,6,62,1000,60/61,"Issues: 2 exact duplicates; pattern collapse (max 62)"
Claude Opus 4.5 LIST 4 (January 13, 2025).txt,Claude Opus 4.5,FAIL,71,24,0,1132,58/61,"Issues: 71 exact duplicates; 1132 entries (expected 500 or 1000); non-sequential ranks"
Claude Opus 4.5 LIST 5 (January 14, 2026).txt,Claude Opus 4.5,WARN,71,7,10,1000,60/61,"Issues: 71 exact duplicates; pattern collapse (max 10)"
Claude Opus 4.5 LIST 6 (January 14, 2026).txt,Claude Opus 4.5,PASS,8,6,0,1000,59/61,"List passes all quality checks"
Claude Opus 4.5 LIST 7 (January 14, 2026).txt,Claude Opus 4.5,PASS,8,12,14,1000,58/61,"List passes all quality checks"
Claude Opus 4.5 LIST 8 (January 16, 2026).txt,Claude Opus 4.5,PASS,5,1,0,1000,60/61,"List passes all quality checks"
Claude Opus 4.5 LIST 9 (January 19, 2026).txt,Claude Opus 4.5,PASS,4,8,17,1000,60/61,"List passes all quality checks"
Claude Opus 4.6 LIST 1 (February 9, 2026).txt,Claude Opus 4.6,PASS,0,1,0,500,60/61,"List passes all quality checks"
Claude Opus 4.6 LIST 2 (February 9, 2026).txt,Claude Opus 4.6,WARN,0,1,0,473,56/61,"Issues: 473 entries (expected 500 or 1000)"
Claude Opus 4.6 LIST 3 (February 10, 2026).txt,Claude Opus 4.6,PASS,28,14,0,1000,60/61,"List passes all quality checks"
Claude Opus 4.6 LIST 4 (February 10, 2026).txt,Claude Opus 4.6,PASS,0,5,0,1000,60/61,"List passes all quality checks"
Claude Sonnet 4.5 LIST 1 (January 12, 2025).txt,Claude Sonnet 4.5,FAIL,8,4,16,1000,59/61,"Issues: 8 exact duplicates; pattern collapse (max 16); non-sequential ranks"
Claude Sonnet 4.5 LIST 2 (January 12, 2025).txt,Claude Sonnet 4.5,WARN,72,10,0,1000,58/61,"Issues: 72 exact duplicates"
Claude Sonnet 4.5 LIST 3 (January 12, 2025).txt,Claude Sonnet 4.5,FAIL,222,19,20,1000,57/61,"Issues: 222 exact duplicates; pattern collapse (max 20); non-sequential ranks"
Claude Sonnet 4.5 LIST 4 (January 12, 2025).txt,Claude Sonnet 4.5,WARN,58,391,0,1000,57/61,"Issues: 58 exact duplicates"
Claude Sonnet 4.5 LIST 5 (January 13, 2025).txt,Claude Sonnet 4.5,WARN,36,4,32,1000,59/61,"Issues: 36 exact duplicates; pattern collapse (max 32)"
Claude Sonnet 4.5 LIST 6 (January 14, 2026).txt,Claude Sonnet 4.5,WARN,10,4,60,1000,60/61,"Issues: 10 exact duplicates; pattern collapse (max 60)"
Claude Sonnet 4.5 LIST 7 (January 14, 2026).txt,Claude Sonnet 4.5,WARN,6,3,31,1000,60/61,"Issues: 6 exact duplicates; pattern collapse (max 31)"
Claude Sonnet 4.5 LIST 8 (January 14, 2026).txt,Claude Sonnet 4.5,FAIL,7,1,108,1000,59/61,"Issues: 7 exact duplicates; pattern collapse (max 108)"
DeepSeek V3.2 LIST 1 (January 13, 2026).txt,DeepSeek V3.2,FAIL,428,0,41,1000,59/61,"Issues: 428 exact duplicates; pattern collapse (max 41)"
DeepSeek V3.2 LIST 2 (January 14, 2026).txt,DeepSeek V3.2,FAIL,625,24,0,1000,60/61,"Issues: 625 exact duplicates"
DeepSeek V3.2 LIST 3 (January 14, 2026).txt,DeepSeek V3.2,FAIL,689,2,0,1000,60/61,"Issues: 689 exact duplicates"
DeepSeek V3.2 LIST 4 (January 14, 2026).txt,DeepSeek V3.2,FAIL,317,3,29,1000,60/61,"Issues: 317 exact duplicates; pattern collapse (max 29)"
DeepSeek V3.2 LIST 5 (January 18, 2026).txt,DeepSeek V3.2,FAIL,645,3,696,1000,57/61,"Issues: 645 exact duplicates; pattern collapse (max 696)"
GLM 4.7 LIST 1 (January 14, 2026).txt,GLM 4.7,FAIL,508,5,0,1000,53/61,"Issues: 508 exact duplicates"
GLM 4.7 LIST 2 (January 14, 2026).txt,GLM 4.7,WARN,91,7,38,1000,59/61,"Issues: 91 exact duplicates; pattern collapse (max 38)"
GLM 4.7 LIST 3 (January 14, 2026).txt,GLM 4.7,WARN,76,50,20,1000,55/61,"Issues: 76 exact duplicates; pattern collapse (max 20)"
GLM 4.7 LIST 4 (January 18, 2026).txt,GLM 4.7,FAIL,285,5,630,1000,58/61,"Issues: 285 exact duplicates; pattern collapse (max 630)"
GPT-5.2 Thinking LIST 1 (January 12, 2025).txt,GPT-5.2 Thinking,PASS,43,15,0,1000,59/61,"List passes all quality checks"
GPT-5.2 Thinking LIST 10 (January 19, 2026).txt,GPT-5.2 Thinking,PASS,0,101,0,1000,60/61,"List passes all quality checks"
GPT-5.2 Thinking LIST 11 (February 10, 2026)).txt,GPT-5.2 Thinking,PASS,0,244,25,1000,60/61,"List passes all quality checks"
GPT-5.2 Thinking LIST 11 (January 19, 2026).txt,GPT-5.2 Thinking,WARN,134,18,45,1000,59/61,"Issues: 134 exact duplicates; pattern collapse (max 45)"
GPT-5.2 Thinking LIST 2 (January 12, 2025).txt,GPT-5.2 Thinking,PASS,6,3,0,500,59/61,"List passes all quality checks"
GPT-5.2 Thinking LIST 3 (January 12, 2025).txt,GPT-5.2 Thinking,FAIL,1,38,0,777,60/61,"Issues: 1 exact duplicates; 777 entries (expected 500 or 1000); non-sequential ranks"
GPT-5.2 Thinking LIST 4 (January 12, 2025).txt,GPT-5.2 Thinking,FAIL,3,129,0,1026,60/61,"Issues: 3 exact duplicates; 1026 entries (expected 500 or 1000); non-sequential ranks"
