"Name","Slug","Occupation","Born","HPI Rank","HPI Score","2025 Views","2024 Views","Gap","Gap Score","YoY Change %","Momentum Q1-Q3 %","Label"
"F. Scott Fitzgerald","F._Scott_Fitzgerald","WRITER","1896","456","84.645679","1233603","1368734","+3.2×","0.50","-9.9","3.3","Famous"
"Claudius","Claudius","POLITICIAN","-10","457","84.636496","707186","901181","+1.8×","0.26","-21.5","-18.2","Steady"
"Alexander Pushkin","Alexander_Pushkin","WRITER","1799","458","84.635843","706167","697457","+1.8×","0.26","1.2","-30.2","Cooling Off"
"Johann Strauss II","Johann_Strauss_II","COMPOSER","1825","459","84.635057","294096","242563","−1.3×","-0.12","21.2","-30.9","Cooling Off"
"Simone de Beauvoir","Simone_de_Beauvoir","WRITER","1908","460","84.626375","708513","710139","+1.8×","0.26","-0.2","-9.2","Steady"
"Titian","Titian","PAINTER","1488","461","84.620079","356798","358676","~1×","-0.03","-0.5","2","Steady"
"Hokusai","Hokusai","ARTIST","1760","462","84.610187","439569","471268","~1×","0.06","-6.7","-10.7","Steady"
"Walt Disney","Walt_Disney","PRODUCER","1901","463","84.605294","2538173","2920140","+6.6×","0.82","-13.1","0.7","Famous"
"Maria Montessori","Maria_Montessori","PHILOSOPHER","1870","464","84.594582","403275","377606","~1×","0.02","6.8","-10.5","Steady"
"Hadrian","Hadrian","POLITICIAN","76","465","84.583476","919531","1027857","+2.4×","0.38","-10.5","-9.9","Steady"
"Friedrich Schiller","Friedrich_Schiller","WRITER","1759","466","84.574908","220561","236505","−1.7×","-0.24","-6.7","-3.6","Steady"
"Pontius Pilate","Pontius_Pilate","POLITICIAN","-12","467","84.558597","1303806","1255365","+3.4×","0.53","3.9","-1.1","Famous"
"Gustav Klimt","Gustav_Klimt","PAINTER","1862","468","84.522974","733410","719906","+1.9×","0.28","1.9","-15.4","Steady"
"Robert Schumann","Robert_Schumann","COMPOSER","1810","469","84.49832","366011","409968","~1×","-0.02","-10.7","-24.5","Cooling Off"
"Pope Julius II","Pope_Julius_II","RELIGIOUS FIGURE","1443","470","84.495573","315784","209184","~1×","-0.09","51","-2.3","Steady"
"Albert A. Michelson","Albert_A._Michelson","PHYSICIST","1852","471","84.492211","79674","82819","−4.8×","-0.68","-3.8","-1.4","Underrated"
"Carl XVI Gustaf of Sweden","Carl_XVI_Gustaf_of_Sweden","POLITICIAN","1946","472","84.472918","64259","90855","−6.0×","-0.78","-29.3","-16.5","Underrated"
"Parmenides","Parmenides","PHILOSOPHER","-501","473","84.471775","196182","186037","−2.0×","-0.29","5.5","-3.2","Steady"
"Aristophanes","Aristophanes","WRITER","-448","474","84.465544","257603","238485","−1.5×","-0.17","8","6.1","Steady"
"Søren Kierkegaard","Søren_Kierkegaard","PHILOSOPHER","1813","475","84.465465","747663","754790","+2.0×","0.29","-0.9","11.7","Steady"
"Origen","Origen","PHILOSOPHER","185","476","84.458224","406987","387660","~1×","0.03","5","6.7","Steady"
"Pope Gregory XIII","Pope_Gregory_XIII","RELIGIOUS FIGURE","1502","477","84.420282","153346","128090","−2.5×","-0.40","19.7","-31.5","Cooling Off"
"Thomas Hardy","Thomas_Hardy","WRITER","1840","478","84.419107","480972","547009","~1×","0.10","-12.1","-5","Steady"
"Charles Baudelaire","Charles_Baudelaire","WRITER","1821","479","84.415344","338958","341070","~1×","-0.05","-0.6","-8.8","Steady"
"Rodrigo Duterte","Rodrigo_Duterte","POLITICIAN","1945","480","84.404571","2473453","1212116","+6.5×","0.81","104.1","-51.5","Post-Peak"
"Marcel Proust","Marcel_Proust","WRITER","1871","481","84.392872","606503","623898","+1.6×","0.20","-2.8","-2.2","Steady"
"Severus Alexander","Severus_Alexander","POLITICIAN","208","482","84.385746","338694","367616","~1×","-0.05","-7.9","-47","Cooling Off"
"Niccolò Paganini","Niccolò_Paganini","MUSICIAN","1782","483","84.37972","317089","420389","~1×","-0.08","-24.6","-23.9","Cooling Off"
"Strabo","Strabo","GEOGRAPHER","-64","484","84.370681","189384","196261","−2.0×","-0.30","-3.5","11.9","Steady"
"Henry IV of France","Henry_IV_of_France","POLITICIAN","1553","485","84.359136","865748","925007","+2.3×","0.36","-6.4","2.9","Steady"
"Pierre Curie","Pierre_Curie","PHYSICIST","1859","486","84.354033","326720","364391","~1×","-0.07","-10.3","-11.5","Steady"
"Uthman","Uthman","POLITICIAN","574","487","84.337262","495682","515092","+1.3×","0.12","-3.8","-24.8","Cooling Off"
"Josef Mengele","Josef_Mengele","PHYSICIAN","1911","488","84.333463","2151115","1949412","+5.7×","0.75","10.3","-12.6","Famous"
"Prince Henry the Navigator","Prince_Henry_the_Navigator","EXPLORER","1394","489","84.32575","218476","232699","−1.7×","-0.24","-6.1","18.7","Steady"
"Pope Leo XI","Pope_Leo_XI","RELIGIOUS FIGURE","1535","490","84.321216","114235","38044","−3.3×","-0.52","200.3","11","Rediscovered"
"Denis Diderot","Denis_Diderot","WRITER","1713","491","84.310205","221153","226447","−1.7×","-0.23","-2.3","-3.8","Steady"
"André-Marie Ampère","André-Marie_Ampère","PHYSICIST","1775","492","84.299045","119589","128055","−3.2×","-0.50","-6.6","13.3","Underrated"
"Murad III","Murad_III","POLITICIAN","1546","493","84.293524","309180","332618","~1×","-0.09","-7","-9.4","Steady"
"Pope Pius VII","Pope_Pius_VII","RELIGIOUS FIGURE","1742","494","84.280628","184537","110561","−2.1×","-0.31","66.9","-29.7","Cooling Off"
"Evangelista Torricelli","Evangelista_Torricelli","PHYSICIST","1608","495","84.266242","61218","69695","−6.2×","-0.79","-12.2","-11.4","Underrated"
"El Greco","El_Greco","PAINTER","1541","496","84.263547","301875","306873","~1×","-0.10","-1.6","-7.6","Steady"
"Jan Hus","Jan_Hus","SOCIAL ACTIVIST","1369","497","84.256463","455949","369327","~1×","0.08","23.5","-29.5","Cooling Off"
"Émile Zola","Émile_Zola","WRITER","1840","498","84.24525","428363","395134","~1×","0.05","8.4","-1.8","Steady"
"Ahmed I","Ahmed_I","POLITICIAN","1590","499","84.233839","388910","423942","~1×","0.01","-8.3","0.8","Steady"
"Erwin Schrödinger","Erwin_Schrödinger","PHYSICIST","1887","500","84.23336","553782","598566","+1.5×","0.17","-7.5","-6.4","Steady"
"Saint Barbara","Saint_Barbara","RELIGIOUS FIGURE","300","501","84.229849","242859","255553","−1.6×","-0.19","-5","-0.4","Steady"
"Al-Farabi","Al-Farabi","PHILOSOPHER","872","502","84.227305","198704","202989","−1.9×","-0.28","-2.1","-11.7","Steady"
"Herod the Great","Herod_the_Great","POLITICIAN","-73","503","84.225322","1084612","1220841","+2.9×","0.46","-11.2","-14.2","Steady"
"Pope Leo X","Pope_Leo_X","RELIGIOUS FIGURE","1475","504","84.219664","510971","287644","+1.4×","0.13","77.6","4.4","Steady"
"Zheng He","Zheng_He","EXPLORER","1387","505","84.213233","442021","421618","~1×","0.07","4.8","-13.7","Steady"
"Bernard Montgomery","Bernard_Montgomery","MILITARY PERSONNEL","1887","506","84.191001","757832","661918","+2.0×","0.30","14.5","-31.6","Cooling Off"
"Silvio Berlusconi","Silvio_Berlusconi","POLITICIAN","1936","507","84.190046","718994","716673","+1.9×","0.28","0.3","8.9","Steady"
"Pope Leo XII","Pope_Leo_XII","RELIGIOUS FIGURE","1760","508","84.184574","178617","36687","−2.1×","-0.32","386.9","-7.9","Rising Star"
"John the Apostle","John_the_Apostle","RELIGIOUS FIGURE","6","509","84.171469","867665","812262","+2.3×","0.36","6.8","3","Steady"
"Joseph-Louis Lagrange","Joseph-Louis_Lagrange","MATHEMATICIAN","1736","510","84.167377","160349","181440","−2.3×","-0.37","-11.6","-8.5","Steady"
"Wassily Kandinsky","Wassily_Kandinsky","PAINTER","1866","511","84.156152","482548","524873","+1.3×","0.11","-8.1","-23.2","Cooling Off"
"Albert, Prince Consort","Albert,_Prince_Consort","NOBLEMAN","1819","512","84.153141","169271","189193","−2.2×","-0.34","-10.5","2.3","Steady"
"Piet Mondrian","Piet_Mondrian","PAINTER","1872","513","84.152584","390327","426630","~1×","0.02","-8.5","-11.6","Steady"
"Lorenzo de' Medici","Lorenzo_de'_Medici","POLITICIAN","1449","514","84.143389","449865","478096","~1×","0.08","-5.9","26","Rising Star"
"James Cook","James_Cook","EXPLORER","1728","515","84.138872","1352994","1284738","+3.6×","0.56","5.3","13.8","Famous"
"Gustave Flaubert","Gustave_Flaubert","WRITER","1821","516","84.133692","206803","218816","−1.8×","-0.26","-5.5","0.6","Steady"
"Euripides","Euripides","WRITER","-480","517","84.116307","319138","325363","~1×","-0.07","-1.9","-3.3","Steady"
"Brigitte Bardot","Brigitte_Bardot","ACTOR","1934","518","84.115925","1207339","1354269","+3.2×","0.51","-10.8","18.5","Famous"
"Li Bai","Li_Bai","WRITER","701","519","84.105577","179037","171548","−2.1×","-0.32","4.4","-8.3","Steady"
"Matthias the Apostle","Matthias_the_Apostle","RELIGIOUS FIGURE","1","520","84.105509","205753","157955","−1.8×","-0.26","30.3","35.2","Rising Star"
"Édouard Manet","Édouard_Manet","PAINTER","1832","521","84.083242","320398","345602","~1×","-0.07","-7.3","-11","Steady"
"Octave Mirbeau","Octave_Mirbeau","WRITER","1848","522","84.07962","26642","23916","−14×","-1.15","11.4","26.2","Emerging"
"Henri Becquerel","Henri_Becquerel","PHYSICIST","1852","523","84.072515","105641","111285","−3.5×","-0.55","-5.1","9.7","Underrated"
"James, brother of Jesus","James,_brother_of_Jesus","RELIGIOUS FIGURE","-20","524","84.07167","490950","479810","+1.3×","0.12","2.3","1.2","Steady"
"Titus","Titus","POLITICIAN","41","525","84.067868","604740","1183886","+1.6×","0.21","-48.9","-19.4","Steady"
"Diocletian","Diocletian","POLITICIAN","244","526","84.067507","758743","701599","+2.0×","0.31","8.1","33","Rising Star"
"Hatshepsut","Hatshepsut","POLITICIAN","-1507","527","84.03377","553447","530390","+1.5×","0.17","4.3","-42.5","Cooling Off"
"Johan Cruyff","Johan_Cruyff","SOCCER PLAYER","1947","528","84.02852","1040631","1264667","+2.8×","0.45","-17.7","-0.7","Steady"
"Maria Callas","Maria_Callas","SINGER","1923","529","84.021526","2199806","2293668","+5.9×","0.77","-4.1","-65.5","Post-Peak"
"Hermann Göring","Hermann_Göring","POLITICIAN","1893","530","84.015313","2671104","1839460","+7.2×","0.86","45.2","11.4","Famous"
"George Marshall","George_Marshall","POLITICIAN","1880","531","84.013438","72271","68359","−5.1×","-0.71","5.7","21.7","Emerging"
"Mary, Queen of Scots","Mary,_Queen_of_Scots","POLITICIAN","1542","532","84.006274","3222884","3409937","+8.7×","0.94","-5.5","1","Famous"
"Saint Stephen","Saint_Stephen","RELIGIOUS FIGURE","1","533","84.004748","449501","447422","~1×","0.08","0.5","27.2","Rising Star"
"Elizabeth","Elizabeth_(biblical_figure)","RELIGIOUS FIGURE","-100","534","83.981769","40306","136318","−9.2×","-0.96","-70.4","0.5","Declining"
"J. J. Thomson","J._J._Thomson","PHYSICIST","1856","535","83.977374","303389","354438","~1×","-0.09","-14.4","16.1","Steady"
"Samson","Samson","RELIGIOUS FIGURE","-1118","536","83.971799","612223","719035","+1.7×","0.22","-14.9","13.2","Steady"
"Mark Antony","Mark_Antony","POLITICIAN","-83","537","83.97165","1096733","1285708","+3.0×","0.47","-14.7","-7.6","Steady"
"Saint Lucy","Saint_Lucy","RELIGIOUS FIGURE","283","538","83.961096","449995","483942","~1×","0.09","-7","22.1","Rising Star"
"Lucretius","Lucretius","PHILOSOPHER","-94","539","83.960103","135274","139230","−2.7×","-0.44","-2.8","4.5","Steady"
"Astrid Lindgren","Astrid_Lindgren","WRITER","1907","540","83.959103","211704","214895","−1.7×","-0.24","-1.5","-7.4","Steady"
"Oscar Wilde","Oscar_Wilde","WRITER","1854","541","83.94517","2040468","2171016","+5.5×","0.74","-6","1","Famous"
"Catherine de' Medici","Catherine_de'_Medici","COMPANION","1519","542","83.940997","1219397","2050678","+3.3×","0.52","-40.5","-14.9","Famous"
"Mark Twain","Mark_Twain","WRITER","1835","543","83.938248","2381468","1951004","+6.5×","0.81","22.1","13.9","Famous"
"Henrik Ibsen","Henrik_Ibsen","WRITER","1828","544","83.921174","391376","391203","~1×","0.03","","1.6","Steady"
"Aretha Franklin","Aretha_Franklin","SINGER","1942","545","83.919228","1992490","1786613","+5.4×","0.73","11.5","-47.5","Post-Peak"
"Eugène Delacroix","Eugène_Delacroix","PAINTER","1798","546","83.918563","243536","240061","−1.5×","-0.18","1.4","-0.4","Steady"
"Pope Pius VIII","Pope_Pius_VIII","RELIGIOUS FIGURE","1761","547","83.916632","72090","30674","−5.1×","-0.71","135","-42.6","Rediscovered"
"Muhammad al-Bukhari","Muhammad_al-Bukhari","RELIGIOUS FIGURE","810","548","83.913246","270892","329897","−1.4×","-0.13","-17.9","-21.2","Cooling Off"
"Pope Adrian VI","Pope_Adrian_VI","RELIGIOUS FIGURE","1459","549","83.910693","158567","65283","−2.3×","-0.36","142.9","-48.6","Rising Star"
"Vespasian","Vespasian","POLITICIAN","9","550","83.909702","576961","931216","+1.6×","0.20","-38","-18.6","Steady"
"James Prescott Joule","James_Prescott_Joule","PHYSICIST","1818","551","83.907016","98371","112470","−3.7×","-0.57","-12.5","-25.5","Declining"
"Janis Joplin","Janis_Joplin","SINGER","1943","552","83.90539","1902891","2071890","+5.2×","0.72","-8.2","-10.2","Famous"
"Gioachino Rossini","Gioachino_Rossini","COMPOSER","1792","553","83.899301","222305","242403","−1.6×","-0.22","-8.3","-18.5","Steady"
"Ragnar Lodbrok","Ragnar_Lodbrok","NOBLEMAN","850","554","83.898298","1107016","1540498","+3.0×","0.48","-28.1","-39.6","Cooling Off"
"Ignatius of Loyola","Ignatius_of_Loyola","RELIGIOUS FIGURE","1491","555","83.894121","498286","448467","+1.4×","0.13","11.1","32.3","Rising Star"
"Skanderbeg","Skanderbeg","POLITICIAN","1405","556","83.872886","403056","416245","~1×","0.04","-3.2","8.2","Steady"
"Rollo","Rollo","NOBLEMAN","846","557","83.867035","810800","806745","+2.2×","0.35","0.5","-7.7","Steady"
"Anthony Hopkins","Anthony_Hopkins","ACTOR","1937","558","83.86573","2600494","2830673","+7.1×","0.85","-8.1","-22.7","Post-Peak"
"John Major","John_Major","POLITICIAN","1943","559","83.842226","988759","1104769","+2.7×","0.43","-10.5","-13.9","Steady"
"Stendhal","Stendhal","WRITER","1783","560","83.826013","177705","153408","−2.1×","-0.31","15.8","13.8","Steady"
"Mary of Teck","Mary_of_Teck","COMPANION","1867","561","83.823469","1581822","1543643","+4.3×","0.64","2.5","16.5","Famous"
"Robert De Niro","Robert_De_Niro","ACTOR","1943","562","83.812589","5687537","5019551","+16×","1.19","13.3","-33.2","Post-Peak"
"Amenhotep III","Amenhotep_III","POLITICIAN","-1403","563","83.796033","278376","266218","−1.3×","-0.12","4.6","-26.3","Cooling Off"
"Hieronymus Bosch","Hieronymus_Bosch","PAINTER","1450","564","83.789025","627260","641804","+1.7×","0.24","-2.3","4.9","Steady"
"Margaret Thatcher","Margaret_Thatcher","POLITICIAN","1925","565","83.785029","2953986","3198736","+8.1×","0.91","-7.7","-19.3","Famous"
"Yasser Arafat","Yasser_Arafat","POLITICIAN","1929","566","83.781436","1489185","1560548","+4.1×","0.61","-4.6","41.3","Trending"
"Khafra","Khafra","POLITICIAN","-2550","567","83.768069","4663","4990","−78×","-1.89","-6.6","-2.3","Forgotten"
"Rajneesh","Rajneesh","PHILOSOPHER","1931","568","83.754032","1663120","2012803","+4.6×","0.66","-17.4","24.3","Trending"
"Ayn Rand","Ayn_Rand","WRITER","1905","569","83.742192","1448091","1506357","+4.0×","0.60","-3.9","-22","Post-Peak"
"Theodosius I","Theodosius_I","POLITICIAN","340","570","83.7393","459926","473467","+1.3×","0.10","-2.9","-17.9","Steady"
"Al-Biruni","Al-Biruni","MATHEMATICIAN","973","571","83.726365","314342","308036","~1×","-0.06","2","-16.9","Steady"
"Honorius","Honorius_(emperor)","POLITICIAN","384","572","83.720494","122423","219795","−3.0×","-0.47","-44.3","-50.1","Cooling Off"
"Ecgberht, King of Wessex","Ecgberht,_King_of_Wessex","POLITICIAN","800","573","83.717204","396933","404452","~1×","0.04","-1.9","-14","Steady"
"Thucydides","Thucydides","HISTORIAN","-460","574","83.712477","318865","334402","~1×","-0.05","-4.6","-12.2","Steady"
"Baldwin IV of Jerusalem","Baldwin_IV_of_Jerusalem","POLITICIAN","1161","575","83.709159","2039853","2487020","+5.6×","0.75","-18","20.3","Trending"
"Domitian","Domitian","POLITICIAN","51","576","83.70878","557650","1097949","+1.5×","0.19","-49.2","-20.5","Cooling Off"
"Anthony the Great","Anthony_the_Great","RELIGIOUS FIGURE","251","577","83.701633","273447","249902","−1.3×","-0.12","9.4","-26.6","Cooling Off"
"Gustavus Adolphus of Sweden","Gustavus_Adolphus_of_Sweden","POLITICIAN","1594","578","83.700427","54995","75018","−6.6×","-0.82","-26.7","-11.3","Underrated"
"Pope Urban VIII","Pope_Urban_VIII","RELIGIOUS FIGURE","1568","579","83.693143","112481","74012","−3.2×","-0.51","52","-4.5","Underrated"
"Mary Magdalene","Mary_Magdalene","RELIGIOUS FIGURE","-10","580","83.66567","1888478","1847998","+5.2×","0.72","2.2","-1.2","Famous"
"Aeschylus","Aeschylus","WRITER","-525","581","83.663894","445154","627676","~1×","0.09","-29.1","-39.8","Cooling Off"
"Ernest Rutherford","Ernest_Rutherford","PHYSICIST","1871","582","83.661702","479289","507962","+1.3×","0.12","-5.6","-17.5","Steady"
"Michel de Montaigne","Michel_de_Montaigne","PHILOSOPHER","1533","583","83.657595","277047","278333","−1.3×","-0.11","-0.5","-8.6","Steady"
"John Wilkes Booth","John_Wilkes_Booth","EXTREMIST","1838","584","83.649046","1234476","1928301","+3.4×","0.54","-36","4","Famous"
"Bayezid II","Bayezid_II","POLITICIAN","1447","585","83.643859","358315","335531","~1×","-0.00","6.8","-9.5","Steady"
"Edward Victor Appleton","Edward_Victor_Appleton","PHYSICIST","1892","586","83.641548","13805","21787","−26×","-1.42","-36.6","-4.1","Forgotten"
"Bertolt Brecht","Bertolt_Brecht","WRITER","1898","587","83.641392","485219","491797","+1.4×","0.13","-1.3","-10.8","Steady"
"Husayn ibn Ali","Husayn_ibn_Ali","RELIGIOUS FIGURE","626","588","83.625224","915842","886161","+2.6×","0.41","3.3","70.3","Rising Star"
"Bayezid I","Bayezid_I","POLITICIAN","1354","589","83.620823","316999","321037","~1×","-0.05","-1.3","-13.4","Steady"
"Pope Pius VI","Pope_Pius_VI","RELIGIOUS FIGURE","1717","590","83.620633","131079","69201","−2.7×","-0.44","89.4","-29.2","Cooling Off"
"John Lennon","John_Lennon","MUSICIAN","1940","591","83.607005","4041611","4413684","+11×","1.05","-8.4","-9","Famous"
"Harry S. Truman","Harry_S._Truman","POLITICIAN","1884","592","83.606031","2759747","3158873","+7.7×","0.89","-12.6","-23.8","Post-Peak"
"Recep Tayyip Erdoğan","Recep_Tayyip_Erdoğan","POLITICIAN","1954","593","83.600069","1600593","1370894","+4.5×","0.65","16.8","-29.8","Post-Peak"
"Christina, Queen of Sweden","Christina,_Queen_of_Sweden","POLITICIAN","1626","594","83.598712","323286","291862","~1×","-0.04","10.8","-27.2","Cooling Off"
"Sun Tzu","Sun_Tzu","PHILOSOPHER","-544","595","83.597008","547082","597927","+1.5×","0.18","-8.5","-21.1","Cooling Off"
"Empedocles","Empedocles","PHILOSOPHER","-490","596","83.595761","181566","173404","−2.0×","-0.29","4.7","-6.7","Steady"
"Pieter Bruegel the Elder","Pieter_Bruegel_the_Elder","PAINTER","1525","597","83.580915","313623","325498","~1×","-0.06","-3.6","-17.1","Steady"
"Franz Beckenbauer","Franz_Beckenbauer","SOCCER PLAYER","1945","598","83.544551","618334","1769280","+1.7×","0.24","-65.1","8.1","Cooling Off"
"Theodora","Theodora_(6th_century)","COMPANION","500","599","83.543125","17682","20564","−20×","-1.31","-14","-24.7","Fading"
"Gian Lorenzo Bernini","Gian_Lorenzo_Bernini","ARCHITECT","1598","600","83.540187","305643","304543","~1×","-0.07","0.4","-26.6","Cooling Off"
"John Dalton","John_Dalton","CHEMIST","1766","601","83.53135","286504","311581","~1×","-0.10","-8","13.6","Steady"
"Murad I","Murad_I","POLITICIAN","1326","602","83.529532","273983","298258","−1.3×","-0.11","-8.1","-7","Steady"
"Sima Qian","Sima_Qian","HISTORIAN","-145","603","83.524018","133229","131974","−2.7×","-0.43","1","1","Steady"
"Felix Mendelssohn","Felix_Mendelssohn","COMPOSER","1809","604","83.514418","403130","408336","~1×","0.05","-1.3","7.2","Steady"
"Plutarch","Plutarch","PHILOSOPHER","46","605","83.512754","464687","456998","+1.3×","0.12","1.7","-12.7","Steady"
"Werner Heisenberg","Werner_Heisenberg","PHYSICIST","1901","606","83.501328","986334","1500302","+2.8×","0.44","-34.3","15.5","Steady"
"Christian IX of Denmark","Christian_IX_of_Denmark","POLITICIAN","1818","607","83.499851","327715","440070","~1×","-0.04","-25.5","-29.2","Cooling Off"
"Anaximander","Anaximander","PHILOSOPHER","-610","608","83.482457","186299","190579","−1.9×","-0.28","-2.2","7","Steady"
"Joan Baez","Joan_Baez","SINGER","1941","609","83.479347","3609116","1439908","+10×","1.01","150.6","-74.3","Post-Peak"
"Edvard Grieg","Edvard_Grieg","COMPOSER","1843","610","83.476051","272917","284061","−1.3×","-0.11","-3.9","-13.5","Steady"
"Selma Lagerlöf","Selma_Lagerlöf","WRITER","1858","611","83.474802","107881","108198","−3.3×","-0.52","-0.3","36","Emerging"
"Robert Koch","Robert_Koch","PHYSICIAN","1843","612","83.46996","221185","228997","−1.6×","-0.21","-3.4","1.2","Steady"
"Rabindranath Tagore","Rabindranath_Tagore","WRITER","1861","613","83.468237","1534322","2016322","+4.3×","0.64","-23.9","0.8","Famous"
"Tycho Brahe","Tycho_Brahe","ASTRONOMER","1546","614","83.462373","368840","396914","~1×","0.02","-7.1","6","Steady"
"Pierre de Fermat","Pierre_de_Fermat","MATHEMATICIAN","1601","615","83.452422","127405","151309","−2.8×","-0.44","-15.8","-7.6","Steady"
"Giovanni Pierluigi da Palestrina","Giovanni_Pierluigi_da_Palestrina","COMPOSER","1520","616","83.446807","121841","121632","−2.9×","-0.46","0.2","3.8","Steady"
"Hayao Miyazaki","Hayao_Miyazaki","FILM DIRECTOR","1941","617","83.440183","1962650","2263197","+5.5×","0.74","-13.3","-38.4","Post-Peak"
"Arnold Schwarzenegger","Arnold_Schwarzenegger","ACTOR","1947","618","83.435456","6418695","6265457","+18×","1.26","2.4","-12.9","Famous"
"Marlene Dietrich","Marlene_Dietrich","ACTOR","1901","619","83.417823","997517","1003011","+2.8×","0.45","-0.5","-10","Steady"
"Puyi","Puyi","POLITICIAN","1906","620","83.414138","1273985","1133616","+3.6×","0.56","12.4","4.6","Famous"
"Simón Bolívar","Simón_Bolívar","POLITICIAN","1783","621","83.412241","902130","842620","+2.6×","0.41","7.1","-9.6","Steady"
"Guglielmo Marconi","Guglielmo_Marconi","INVENTOR","1874","622","83.409382","422641","480786","~1×","0.08","-12.1","3.2","Steady"
"Claudio Monteverdi","Claudio_Monteverdi","COMPOSER","1567","623","83.407536","145834","161052","−2.4×","-0.38","-9.4","0.5","Steady"
"Jorge Luis Borges","Jorge_Luis_Borges","WRITER","1899","624","83.398005","598877","577683","+1.7×","0.23","3.7","0.3","Steady"
"Abu Hanifa","Abu_Hanifa","RELIGIOUS FIGURE","698","625","83.388995","297905","361704","~1×","-0.07","-17.6","-36.3","Cooling Off"
"Philip IV of France","Philip_IV_of_France","POLITICIAN","1268","626","83.388888","383733","343392","~1×","0.04","11.7","0.9","Steady"
"William Thomson, 1st Baron Kelvin","William_Thomson,_1st_Baron_Kelvin","PHYSICIST","1824","627","83.386659","80828","93140","−4.4×","-0.64","-13.2","-8.3","Underrated"
"Pepin the Short","Pepin_the_Short","POLITICIAN","715","628","83.381406","367989","341659","~1×","0.02","7.7","-11.5","Steady"
"Alexander von Humboldt","Alexander_von_Humboldt","GEOGRAPHER","1769","629","83.377877","332957","308456","~1×","-0.02","7.9","21.4","Rising Star"
"Isaiah","Isaiah","RELIGIOUS FIGURE","-800","630","83.376656","475594","527528","+1.4×","0.13","-9.8","","Steady"
"Protagoras","Protagoras","PHILOSOPHER","-486","631","83.365402","99269","98990","−3.5×","-0.55","0.3","3.5","Underrated"
"Salman of Saudi Arabia","Salman_of_Saudi_Arabia","POLITICIAN","1935","632","83.357545","1665284","1514667","+4.7×","0.68","9.9","-8.2","Famous"
"Stefan Zweig","Stefan_Zweig","WRITER","1881","633","83.34716","340897","313086","~1×","-0.01","8.9","2.3","Steady"
"Thomas Mann","Thomas_Mann","WRITER","1875","634","83.338068","511004","450846","+1.5×","0.16","13.3","1.5","Steady"
"Pope Innocent III","Pope_Innocent_III","RELIGIOUS FIGURE","1160","635","83.325472","352076","209025","~1×","0.00","68.4","-31.7","Cooling Off"
"Henry Dunant","Henry_Dunant","SOCIAL ACTIVIST","1828","636","83.321658","130937","132835","−2.7×","-0.43","-1.4","-2.9","Steady"
"Napoleon II","Napoleon_II","POLITICIAN","1811","637","83.310799","510636","903870","+1.5×","0.16","-43.5","-39.3","Cooling Off"
"David Hume","David_Hume","PHILOSOPHER","1711","638","83.277366","613561","648340","+1.8×","0.24","-5.4","-2.4","Steady"
"Akihito","Akihito","NOBLEMAN","1933","639","83.276038","1083791","1186084","+3.1×","0.49","-8.6","17.2","Steady"
"Pope Pius III","Pope_Pius_III","RELIGIOUS FIGURE","1439","640","83.272807","64535","33403","−5.4×","-0.73","93.2","-18","Underrated"
"Lee Kuan Yew","Lee_Kuan_Yew","POLITICIAN","1923","641","83.27094","1643271","1282779","+4.7×","0.67","28.1","29.1","Trending"
"Ludwig Wittgenstein","Ludwig_Wittgenstein","PHILOSOPHER","1889","642","83.267503","740299","694711","+2.1×","0.33","6.6","15","Steady"
"Orhan","Orhan","POLITICIAN","1288","643","83.264234","383439","620398","~1×","0.04","-38.2","-17.5","Steady"
"Louis Mountbatten, 1st Earl Mountbatten of Burma","Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma","POLITICIAN","1900","644","83.262184","459399","1212192","+1.3×","0.12","-62.1","-12.9","Cooling Off"
"Sophia Loren","Sophia_Loren","ACTOR","1934","645","83.255807","1809077","1900687","+5.2×","0.71","-4.8","12.8","Famous"
"Louis XVII of France","Louis_XVII_of_France","POLITICIAN","1785","646","83.255385","42344","61613","−8.2×","-0.92","-31.3","-46","Declining"
"Gerd Müller","Gerd_Müller","SOCCER PLAYER","1945","647","83.25465","417924","517391","~1×","0.08","-19.2","48.8","Rising Star"
"Gustave Eiffel","Gustave_Eiffel","ENGINEER","1832","648","83.252115","335785","417119","~1×","-0.02","-19.5","-4.2","Steady"
"Eusebius","Eusebius","RELIGIOUS FIGURE","265","649","83.24074","208718","203793","−1.7×","-0.22","2.4","8","Steady"
"Florence Nightingale","Florence_Nightingale","PHYSICIAN","1820","650","83.231769","1466718","1333375","+4.2×","0.62","10","-12.5","Famous"
"Luciano Pavarotti","Luciano_Pavarotti","SINGER","1935","651","83.228341","806513","881686","+2.3×","0.36","-8.5","9.2","Steady"
"Arthur Conan Doyle","Arthur_Conan_Doyle","WRITER","1859","652","83.224357","935126","970026","+2.7×","0.43","-3.6","-4.6","Steady"
"Enrico Fermi","Enrico_Fermi","PHYSICIST","1901","653","83.222105","530928","663742","+1.5×","0.18","-20","3.8","Steady"
"Imelda Marcos","Imelda_Marcos","COMPANION","1929","654","83.209093","716214","630265","+2.1×","0.31","13.6","4.3","Steady"
"Cardinal Richelieu","Cardinal_Richelieu","POLITICIAN","1585","655","83.20875","466649","440113","+1.3×","0.13","6","7","Steady"
